Latitude,Longitude,TotalAssessedValue,LotSizeOrArea,SalesPriceFromAssessment,YearBuilt,NumberOfBedrooms,NumberOfBaths,NumberOfPartialBaths,GarageParkingNumberOfCars,GarageTypeParking_Type Not Specified,PoolType_No Pool,PoolType_Pool w/Hot Tub/Spa,CountyLandUseDescription_CONDOMINIUM,CountyLandUseDescription_SINGLE FAMILY RESIDENTIAL
0.04095060511406147,0.03499005964232289,0.050821236783086275,0.1592072967485834,0.09995719178082192,0.8235294117647058,0.8333333333333334,0.6,0.0,0.5,1,0,1,0,1
0.03805270846443218,0.020751680393899144,0.031200339246520468,0.12011757219478197,0.06742294520547945,0.8823529411764706,0.5,0.4,0.5,0.5,1,1,0,0,1
0.035689259967479035,0.011587617154287994,0.025749335606432305,0.17081300566649496,0.11258561643835617,0.8823529411764706,0.5,0.4,0.5,0.5,1,1,0,0,1
0.033563343982695136,0.012950866231310535,0.03324023692024546,0.13278385503469592,0.07127568493150685,0.8823529411764706,0.8333333333333334,0.6,0.0,0.5,1,1,0,0,1
0.02921649900829339,0.012326043737663992,0.031138817061866157,0.12832944456228598,0.0686001712328767,0.8823529411764706,0.5,0.4,0.5,0.5,1,1,0,0,1
0.023206926448031854,0.007800814162857679,0.04937669281896491,0.31974788642768404,0.0957833904109589,0.8823529411764706,0.6666666666666666,0.6,0.0,0.5,1,1,0,0,1
0.028100096200692894,0.022039193411012358,0.04239829738504634,0.17617647950062118,0.08882705479452055,0.8823529411764706,0.5,0.6,0.0,0.75,1,1,0,0,1
0.029929096545054275,0.028817570766035867,0.03696838925715261,0.2602042362352656,0.0783390410958904,0.8235294117647058,0.6666666666666666,0.6,0.0,0.5,1,1,0,0,1
0.029133362628958204,0.04051879201005332,0.06984616692242099,0.13814732886882217,0.15132705479452055,0.8235294117647058,0.6666666666666666,0.4,0.5,0.5,1,1,0,0,1
0.019667692015309324,0.013916500994145445,0.052863128941600564,0.1239659404260477,0.11494006849315068,0.8235294117647058,0.5,0.4,0.5,0.5,1,1,0,0,1
0.01023765127849427,0.012875130171401208,0.044754014054060355,0.24923487167055544,0.09300085616438356,0.8235294117647058,0.5,0.6,0.0,0.75,1,1,0,0,1
0.014845782016400322,0.021527975007095274,0.057668303064725326,0.14548043998666707,0.12457191780821918,0.8235294117647058,0.5,0.6,0.0,0.75,1,1,0,0,1
0.022470575660020288,0.03911767490294158,0.07987612408395615,0.1785097421290264,0.17701198630136986,0.8235294117647058,0.6666666666666666,0.6,0.0,0.5,1,1,0,0,1
0.013384957065960337,0.05816529395062981,0.06019278383129482,0.17981273294748645,0.13206335616438356,0.7647058823529411,0.5,0.4,0.5,0.5,1,1,0,0,1
